name,path,folder
0 A.D.,https://github.com/0ad/0ad.git,
Arx Libertatis,##done##,
AssaultCube,https://github.com/assaultcube/AC.git,
Battle for Wesnoth,https://github.com/wesnoth/wesnoth.git,
Blender 3D,,
Cataclysm-DDA,,
Chaotic Rage,,
Cyberdojo,,
Dolphin-emu,,
Dungeon Crawl,,
Stone Soup,,
FlightGear,,
FreeSpace,,
Frogatto,,
Hedgewars,,
MAME,,
ManaPlus,,
MegaGlest,,
Minetest,,
Multitheftauto,,
Oolite,,
OpenArena,,
OpenClonk,,
OpenDungeons,,
OpenMW,,
OpenSimulator,,
Orxonox,,
Pioneer,,
SuperTuxKart,,
Thousand Parsec,,
Warzone 2100,,
