name,path,folder
Calligra Suite,https://github.com/KDE/calligra.git,
Chromium,https://github.com/chromium/chromium.git,
Cppcheck,https://github.com/danmar/cppcheck.git,
Doxygen,https://github.com/doxygen/doxygen.git,
Firebird,https://github.com/FirebirdSQL/firebird.git,
GIMP,https://github.com/GNOME/gimp.git,
Gparted,https://github.com/GNOME/gparted.git,
K3b,https://github.com/KDE/k3b.git,
Kate,https://github.com/KDE/kate.git,
Ktorrent,https://github.com/KDE/ktorrent.git,
Libre Office,https://github.com/pld-linux/libreoffice.git,
MongoDB,https://github.com/mongodb/mongo.git,
MySQL,https://github.com/mysql/mysql-server.git,
Node.js,https://github.com/nodejs/node.git,
Notepad++,https://github.com/notepad-plus-plus/notepad-plus-plus.git,
OpenSSL,https://github.com/openssl/openssl.git,
OpenVPN,https://github.com/OpenVPN/openvpn.git,
OpenWrt,https://github.com/openwrt/openwrt.git,
PowerDNS,https://github.com/PowerDNS/pdns.git,
Scilab,https://github.com/scilab/scilab.git,
Sumatra PDF,https://github.com/sumatrapdfreader/sumatrapdf.git,
Synergy,https://github.com/symless/synergy-core.git,
TortoiseGit,https://github.com/TortoiseGit/TortoiseGit.git,
Umbrello,https://github.com/KDE/umbrello.git,
VLC,https://github.com/videolan/vlc.git,
